id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
72,1.225.000 ₫,-30%,27,134,4.5,12902,4,0.0
73,200.000 ₫,-5%,27,70,4.8,21708,5,4.5
74,18.000 ₫,0,6,27,4.7,3,0,5.0
75,0,0,66,222,4.3,846,1,4.6
76,161.840 ₫,-49%,20,77,4.5,8,1,4.6
77,423.900 ₫,0,1,1,3.6,213,0,5.0
78,28.990 ₫,0,1,1,4.4,273,8,2.0
79,179.000 ₫,0,29,78,4.4,817,1,4.6
80,96.000 ₫,-47%,23,85,4.6,441,4,4.9
81,66.750 ₫,0,5,37,4.7,91,1,5.0
82,20.000 ₫,-33%,135,657,4.6,441,3,4.7
83,279.000 ₫,-44%,1,5,4.4,71,1,4.0
84,299.000 ₫,-34%,11,29,4.7,2150,4,4.8
85,79.000 ₫,0,1,9,4.3,39,6,4.0
86,17.000 ₫,-32%,0,5,4.3,129,1,5.0
87,220.000 ₫,0,2,7,4.2,2867,1,0.0
88,530.000 ₫,-37%,21,58,4.7,2150,4,4.7
89,28.000 ₫,0,46,144,4.7,73,0,4.6
90,599.000 ₫,0,1,1,4.2,17,2,5.0
91,48.000 ₫,0,15,78,4.4,662,4,4.4
92,37.000 ₫,-17%,8,44,4.4,916,0,4.8
93,1.449.000 ₫,-50%,1,2,4.5,514,5,5.0
94,55.000 ₫,-30%,328,1119,4.1,1843,3,3.6
95,195.000 ₫,0,3,12,4.3,28,1,3.7
96,189.999 ₫,0,0,2,4.3,152,2,0.0
97,159.000 ₫,-16%,41,228,4.6,1638,2,4.4
98,188.000 ₫,0,10,27,4.2,82,2,4.6
99,289.000 ₫,-28%,27,44,4.5,2457,3,4.6
100,199.000 ₫,0,3,16,4.4,91,2,4.3
101,279.000 ₫,0,6,27,4.0,30,1,4.8
102,22.000 ₫,-63%,4,20,4.2,2867,1,0.0
103,50.000 ₫,-9%,3,21,3.7,260,1,4.7
104,519.750 ₫,-1%,2,2,4.6,544,4,0.0
105,72.000 ₫,-35%,64,307,4.6,441,4,0.0
106,29.900 ₫,0,5,40,3.9,76,0,4.2
107,49.000 ₫,-30%,12,61,4.5,628,3,5.0
108,435.000 ₫,0,30,132,4.2,169,1,4.4
109,99.000 ₫,0,1,1,5.0,6,4,4.8
110,212.500 ₫,-15%,12,39,4.4,147,3,5.0
111,199.000 ₫,0,8,23,4.2,87,2,3.4
112,6.900 ₫,-22%,26,208,4.3,413,4,4.8
113,300.000 ₫,0,3,5,4.5,15,1,4.3
114,179.000 ₫,-45%,1,1,4.4,91,2,4.0
115,223.500 ₫,0,513,1245,4.5,1843,1,4.6
116,399.000 ₫,0,4,17,4.4,135,1,5.0
117,189.000 ₫,0,5,25,4.4,35,1,5.0
118,250.000 ₫,-50%,2,7,4.3,237,4,4.0
119,100.724 ₫,-48%,2,2,4.4,242,2,5.0
120,349.000 ₫,-41%,34,109,4.6,19,1,4.7
121,43.000 ₫,0,3,3,4.4,3,1,4.7
122,169.000 ₫,0,0,5,4.3,152,2,0.0
123,180.375 ₫,-25%,2,8,4.4,242,2,5.0
