,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
240,55.000 ₫,0,8,23,4.6,23,1,4.8
241,115.000 ₫,-42%,3,19,3.8,189,4,4.7
242,66.000 ₫,0,7,23,3.8,14,1,4.3
243,124.000 ₫,0,8,26,3.6,87,1,3.4
244,129.000 ₫,-50%,69,238,4.3,4812,2,4.7
245,78.000 ₫,0,1,7,4.2,51,1,5
246,79.000 ₫,0,27,64,4.3,570,1,4.1
247,175.000 ₫,0,3,14,4.0,626,1,3.3
248,159.000 ₫,-38%,514,1398,4.3,4812,2,4.4
249,55.000 ₫,0,3,7,2.9,505,1,2.7
250,99.000 ₫,-10%,4,18,4.2,665,1,4
251,119.000 ₫,-30%,0,1,3.8,189,4,0
252,107.000 ₫,-27%,5,8,4.0,54,3,4.6
253,97.000 ₫,0,2,4,4.3,1331,3,5
254,430.000 ₫,0,1,3,4.6,3,1,5
255,79.000 ₫,0,36,84,4.5,2252,6,4.2
256,159.000 ₫,-47%,10,27,4.3,4812,2,5
257,139.000 ₫,-37%,3,10,4.4,3584,5,5
258,150.000 ₫,0,6,29,4.7,23,1,4.8
259,398.000 ₫,0,1,1,4.7,952,3,4
260,542.900 ₫,-11%,1,1,4.8,8,1,4.6
261,199.000 ₫,-50%,6,15,4.3,610,4,0
262,139.000 ₫,-34%,461,1119,4.8,267,4,0
263,49.000 ₫,0,11,26,4.3,4812,2,4.5
264,350.000 ₫,0,1,2,4.0,28,1,4
265,180.000 ₫,0,1,1,4.5,2,1,0
266,79.000 ₫,-17%,5,6,4.4,33,1,3.8
267,95.000 ₫,0,0,0,4.3,1331,3,0
268,262.000 ₫,-34%,22,60,4.8,6553,7,4.7
269,39.000 ₫,0,7,61,4.2,5,0,4.1
270,324.000 ₫,-7%,2,2,4.7,119,2,5
271,569.000 ₫,0,1,3,4.5,308,2,5
272,265.000 ₫,-25%,5,7,4.7,245,5,4.6
273,559.200 ₫,-20%,1,3,4.5,587,2,5
274,1.062.500 ₫,-15%,1,1,4.7,365,4,0
275,97.500 ₫,0,5,52,4.3,98,3,4.4
276,122.000 ₫,-39%,5,9,3.8,189,4,4.2
277,309.000 ₫,-21%,2,4,4.7,11673,4,5
278,588.000 ₫,0,1,2,4.8,610,4,0
279,49.000 ₫,0,1,2,4.0,41,1,5
280,157.000 ₫,-11%,1,1,3.0,66,1,1
281,149.000 ₫,-40%,6,12,4.2,828,1,4
282,180.000 ₫,-9%,7,26,4.3,47,1,4.3
283,265.000 ₫,-18%,2,6,4.7,245,5,5
284,86.000 ₫,0,6,42,3.9,565,1,0
285,155.000 ₫,0,4,8,4.1,21,1,4.8
286,129.000 ₫,0,10,234,3.9,849,1,3.9
287,207.999 ₫,0,1,2,4.0,10,1,4
288,88.000 ₫,0,0,0,4.4,75,1,0
289,149.000 ₫,-37%,555,1647,4.3,4812,2,4.3
290,199.500 ₫,-50%,41,251,4.7,11161,5,4.8
291,319.000 ₫,-36%,2,16,4.3,90,3,0
292,79.000 ₫,-20%,1,2,3.5,54,1,1
293,36.000 ₫,-18%,1,3,4.4,22,0,3
294,58.000 ₫,-50%,1,3,4.0,75,1,5
295,99.000 ₫,0,9,29,4.7,2662,5,4.9
296,229.000 ₫,-43%,14,31,4.6,1843,4,4.9
297,75.000 ₫,0,5,7,3.9,565,1,0
298,65.000 ₫,0,29,162,4.7,29,1,4.6
299,349.000 ₫,0,1,9,3.9,58,1,5
300,107.000 ₫,0,3,10,4.0,279,2,4.3
301,120.000 ₫,0,17,42,4.0,626,1,4.2
302,162.000 ₫,-7%,2,11,4.2,9,2,5
303,148.000 ₫,0,1,4,4.7,2662,5,5
304,199.000 ₫,-57%,8,19,4.7,952,3,0
305,59.000 ₫,0,9,41,4.2,5,1,4.6
306,189.000 ₫,0,138,396,3.7,143,3,3.9
307,99.000 ₫,0,24,134,4.6,159,1,4.8
308,299.000 ₫,-36%,1,6,4.5,587,2,5
309,294.000 ₫,0,1,8,4.5,12,1,5
310,107.000 ₫,-27%,1,2,4.0,54,3,0
311,138.000 ₫,0,1,3,3.3,147,2,1
312,49.000 ₫,0,3,14,4.8,19,1,4.7
313,184.000 ₫,-5%,2,6,4.1,68,2,4.5
314,110.000 ₫,-42%,11,37,4.5,2048,4,0
315,42.000 ₫,-11%,1,1,4.2,565,1,0
316,124.000 ₫,0,113,505,3.9,46,0,0
317,89.000 ₫,-49%,8,25,4.5,194,3,5
318,529.000 ₫,0,8,15,4.4,135,1,4.8
319,196.000 ₫,-30%,22,58,4.1,93,2,4.3
320,55.000 ₫,-20%,1,2,3.8,414,2,4
