id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
317,35.140 ₫,-5%,6,33,4.3,311,3,2.7
318,145.000 ₫,0,5,25,4.2,257,1,4.6
319,204.000 ₫,-14%,276,1528,4.7,479129,1,4.8
320,66.100 ₫,-3%,3,62,4.7,479129,1,0
321,19.000 ₫,0,6,51,4.3,356,0,4.5
322,25.000 ₫,0,60,503,4.8,408,0,4.9
323,96.300 ₫,-10%,6,33,4.7,495,2,4.7
324,25.000 ₫,0,0,23,4.2,1331,3,0
325,39.000 ₫,0,4,28,4.9,76,0,4.3
326,168.000 ₫,0,5,51,4.2,39,1,4.4
327,139.000 ₫,0,72,257,4.7,339,2,4.8
328,1.990.000 ₫,-45%,4,4,4.6,22,4,5
329,37.900 ₫,0,23,185,4.6,649,11,4.7
330,49.000 ₫,0,6,28,4.6,318,1,5
331,198.500 ₫,0,3,15,4.4,741,1,5
332,15.000 ₫,0,48,768,4.7,1945,0,4.6
333,45.000 ₫,0,4,12,4.5,17,1,4.8
334,188.100 ₫,-1%,7,37,4.4,30,4,4.9
335,36.000 ₫,0,4,28,4.5,1126,0,4.8
336,269.998 ₫,-45%,9,29,4.7,88,3,4.8
337,31.000 ₫,0,0,0,4.3,1228,4,0
338,722.500 ₫,0,0,0,4.7,645,4,0
339,138.000 ₫,0,0,0,4.7,645,4,0
340,115.000 ₫,0,17,70,4.6,318,1,4.5
341,39.000 ₫,0,56,528,4.6,318,0,4.8
342,215.700 ₫,-50%,42,260,4.7,645,4,4.8
343,34.500 ₫,0,20,131,4.4,741,0,4.7
344,400.000 ₫,0,6,33,4.8,172,1,5
345,224.000 ₫,-20%,17,62,4.6,30,2,4.6
346,197.000 ₫,0,191,910,4.7,416,1,4.6
347,75.000 ₫,0,17,109,3.6,44,1,4.4
348,295.000 ₫,0,31,209,4.7,1638,1,4.9
349,174.000 ₫,-50%,22,112,4.7,645,4,4
350,109.000 ₫,-39%,83,541,4.9,1433,3,0
351,23.900 ₫,0,18,105,4,344,0,4.1
352,155.000 ₫,-22%,6,20,4.6,9,2,4.5
353,28.710 ₫,0,13,169,4.5,173,0,3.8
354,87.000 ₫,-2%,5,36,4.4,6,1,4.6
355,862.000 ₫,0,10,47,4.7,7,2,5
356,108.900 ₫,-1%,9,24,3.9,8,1,3.1
357,23.000 ₫,0,135,1314,4.8,408,0,4.9
358,19.200 ₫,-40%,7,144,4.8,179,2,5
359,62.983 ₫,0,0,0,4.2,63,1,0
360,54.000 ₫,0,27,139,4.6,314,1,4.9
361,177.000 ₫,0,3,21,4.2,262,2,3.7
362,1.050.000 ₫,0,64,223,4.7,3891,2,4.8
363,19.000 ₫,0,40,420,4.9,21,0,4.7
364,27.000 ₫,-3%,3,49,4.3,79,2,4.7
365,84.550 ₫,-5%,15,81,4.5,400,4,4.8
366,45.000 ₫,0,0,3,4.3,119,2,0
367,45.000 ₫,0,8,70,4.2,1331,4,4.3
368,10.988 ₫,0,1,10,4.2,2867,1,5
369,125.000 ₫,-4%,67,336,4.8,5222,2,4.8
370,10.098 ₫,0,73,472,4.2,2867,1,4.4
371,0,0,47,330,4.7,479129,1,4.9
372,195.000 ₫,0,38,136,4.4,597,1,4.9
373,459.000 ₫,0,49,212,4.7,645,4,4.6
374,135.000 ₫,-10%,21,101,4.7,1945,4,4.7
375,85.000 ₫,0,9,25,4.7,7,2,4.9
376,44.000 ₫,-20%,7,47,4.4,7,1,4.3
377,39.000 ₫,0,13,149,4.4,120,0,4.5
378,32.000 ₫,0,4,36,4.6,12,2,5
379,102.000 ₫,-20%,51,181,4.8,2048,3,4.8
380,6.500 ₫,-35%,7,158,4.7,110,2,4.9
381,66.000 ₫,0,0,3,4.2,479,2,0
382,829.000 ₫,0,29,232,4.6,597,2,4.6
383,800.000 ₫,0,27,141,4.5,1740,4,4.7
384,59.000 ₫,0,43,480,4.7,339,2,4.6
385,229.000 ₫,-12%,32,311,4.7,581,4,4.9
386,29.000 ₫,-41%,135,431,4.9,1433,2,4.9
387,20.000 ₫,0,41,567,4.7,1945,0,4.8
388,60.000 ₫,-25%,10,58,4.8,277,1,5
389,123.000 ₫,0,43,358,4.7,339,2,4.3
390,395.000 ₫,-29%,113,544,4.6,81,1,4.7
391,118.800 ₫,-1%,15,77,3.9,8,1,4.5
392,119.000 ₫,0,11,51,4.7,1945,1,4.5
393,89.900 ₫,0,82,465,4.8,408,1,4.9
394,45.000 ₫,0,8,61,4.7,416,1,5
395,15.000 ₫,0,5,27,4.3,1228,4,5
396,330.000 ₫,-25%,60,446,4.7,1536,2,4.7
397,48.000 ₫,0,3,22,4.2,2867,2,3.7
398,13.000 ₫,0,16,326,4.5,569,0,4.1
399,13.000 ₫,-48%,4,183,4.7,110,2,0
400,586.886 ₫,-45%,43,174,4.7,88,3,4.7
401,14.000 ₫,0,4,87,4.2,512,3,0
402,304.800 ₫,-38%,1,5,4.5,17,3,4
403,682.500 ₫,0,0,1,4.7,645,4,0
404,469.000 ₫,0,3,6,4.7,1945,1,5
405,169.000 ₫,0,12,85,4.7,1945,1,5
406,41.000 ₫,0,16,81,4.5,21,0,4.6
407,33.000 ₫,-45%,1,36,4.3,311,3,4
408,192.000 ₫,0,4,13,4.6,37,1,0
409,61.900 ₫,0,7,63,4.7,339,2,4.7
410,157.000 ₫,-13%,2,13,4.9,96,1,5
411,80.000 ₫,-6%,11,31,4.7,221,3,4.7
412,159.011 ₫,0,3,7,4.3,2457,6,4.3
413,12.600 ₫,0,0,10,4,344,0,0
414,12.500 ₫,0,4,237,4.7,1,0,5
415,40.920 ₫,0,0,0,3.9,159,0,0
416,15.600 ₫,0,15,278,4.8,616,1,5
417,369.000 ₫,0,136,594,4.6,698,2,4.7
418,200.000 ₫,0,5,209,4.8,453,1,4.8
419,145.000 ₫,-28%,12,54,4.8,277,1,4.4
420,37.800 ₫,-37%,4,52,4.8,179,2,4
421,31.740 ₫,-31%,5,46,4.8,179,2,5
422,108.000 ₫,0,37,256,4.7,1638,1,4.8
423,590.000 ₫,0,29,100,4.5,1740,1,4.9
424,31.340 ₫,-18%,0,6,4.2,11,1,0
425,335.000 ₫,-26%,989,5000+,4.7,479129,1,4.8
426,132.000 ₫,0,0,666,4.8,2048,1,0
427,132.000 ₫,0,4,5000+,4.8,2048,1,5
428,4.200 ₫,-30%,0,415,4.6,26,1,0
429,335.000 ₫,-26%,989,5000+,4.7,479129,1,4.8
430,234.000 ₫,-15%,469,2673,4.7,479129,1,4.7
431,341.000 ₫,-25%,836,5000+,4.7,479129,1,4.8
432,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.8
433,121.000 ₫,-10%,434,4470,4.8,277,1,4.8
434,427.000 ₫,-6%,866,5000+,4.7,479129,1,4.9
435,341.000 ₫,-25%,836,5000+,4.7,479129,1,4.8
436,50.000 ₫,-49%,40,484,4.8,4096,9,5
437,13.680 ₫,0,13,223,4.2,1331,3,3.4
438,234.000 ₫,-15%,469,2673,4.7,479129,1,4.7
439,29.000 ₫,-28%,58,822,4.7,479129,0,4.9
440,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.8
441,175.000 ₫,-23%,1583,5000+,4.7,479129,1,4.8
442,326.000 ₫,-22%,792,4771,4.7,479129,1,4.8
443,220.000 ₫,-23%,1263,5000+,4.7,479129,1,4.9
444,174.000 ₫,-23%,1538,5000+,4.7,479129,1,4.8
445,458.000 ₫,-20%,389,2692,4.7,479129,1,4.9
446,227.000 ₫,0,1159,5000+,4.7,479129,1,4.9
447,0,0,717,4240,4.7,479129,1,4.7
448,326.000 ₫,-22%,716,3877,4.7,479129,1,4.8
449,433.000 ₫,-20%,406,2805,4.7,479129,1,4.9
450,220.000 ₫,-23%,1263,5000+,4.7,479129,1,4.9
451,170.000 ₫,-25%,1526,5000+,4.7,479129,1,0
452,319.174 ₫,0,0,24,4.7,645,4,0
453,8.500 ₫,0,0,111,4.7,725,1,0
454,110.000 ₫,-29%,293,3017,4.8,277,1,4.9
455,427.000 ₫,-6%,866,5000+,4.7,479129,1,4.9
456,296.000 ₫,-20%,166,891,4.7,479129,1,4.9
457,74.000 ₫,-5%,509,5000+,4.7,479129,1,4.8
458,151.000 ₫,-18%,631,5000+,4.7,479129,1,4.8
459,209.000 ₫,-23%,1138,5000+,4.7,479129,1,0
460,433.000 ₫,-20%,406,2805,4.7,479129,1,4.9
461,458.000 ₫,-20%,389,2692,4.7,479129,1,4.9
462,77.000 ₫,0,0,15,4.2,479,2,0
463,181.000 ₫,-20%,275,2297,4.7,479129,1,4.9
464,25.000 ₫,0,384,5000+,4.6,153,0,4.9
465,114.000 ₫,-10%,2659,5000+,4.7,479129,1,0
466,353.000 ₫,-22%,151,1040,4.7,479129,1,4.9
467,105.000 ₫,-13%,163,2041,4.7,479129,1,4.9
468,114.000 ₫,-10%,2659,5000+,4.7,479129,1,4.8
469,211.000 ₫,-22%,1107,5000+,4.7,479129,1,4.8
470,211.000 ₫,-22%,1107,5000+,4.7,479129,1,4.8
471,358.000 ₫,-21%,128,860,4.7,479129,1,4.9
472,151.000 ₫,-18%,756,5000+,4.7,479129,1,4.8
473,66.100 ₫,-11%,61,633,4.7,479129,1,5
474,73.000 ₫,-6%,380,3535,4.7,479129,1,4.7
475,150.000 ₫,-6%,5,27,4.8,34,1,5
476,200.000 ₫,0,10,55,4.5,247,1,4.1
477,91.000 ₫,0,9,32,4.6,9,1,4.9
478,90.000 ₫,0,17,107,4.7,7,2,4.8
479,8.200 ₫,0,0,7,4.3,54,0,0
