id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1197,349.000 ₫,0,1,9,3.9,58,1,5.0
1198,107.000 ₫,0,3,10,4.0,279,2,4.3
1199,120.000 ₫,0,17,42,4.0,626,1,4.2
1200,162.000 ₫,-7%,2,11,4.2,9,2,5.0
1201,148.000 ₫,0,1,4,4.7,2662,5,5.0
1202,199.000 ₫,-57%,8,19,4.7,952,3,0.0
1203,59.000 ₫,0,9,41,4.2,5,1,4.6
1204,189.000 ₫,0,138,396,3.7,143,3,3.9
1205,99.000 ₫,0,24,134,4.6,159,1,4.8
1206,299.000 ₫,-36%,1,6,4.5,587,2,5.0
1207,294.000 ₫,0,1,8,4.5,12,1,5.0
1208,107.000 ₫,-27%,1,2,4.0,54,3,0.0
1209,138.000 ₫,0,1,3,3.3,147,2,1.0
1210,49.000 ₫,0,3,14,4.8,19,1,4.7
1211,184.000 ₫,-5%,2,6,4.1,68,2,4.5
1212,110.000 ₫,-42%,11,37,4.5,2048,4,0.0
1213,42.000 ₫,-11%,1,1,4.2,565,1,0.0
1214,124.000 ₫,0,113,505,3.9,46,0,0.0
1215,89.000 ₫,-49%,8,25,4.5,194,3,5.0
1216,529.000 ₫,0,8,15,4.4,135,1,4.8
1217,196.000 ₫,-30%,22,58,4.1,93,2,4.3
1218,55.000 ₫,-20%,1,2,3.8,414,2,4.0
1219,59.000 ₫,-26%,2,26,4.5,1638,1,4.5
1220,110.000 ₫,-20%,1,1,4.5,133,1,0.0
1221,259.000 ₫,-24%,6,35,4.7,719,5,0.0
1222,49.000 ₫,0,1,8,4.3,260,1,4.0
1223,93.750 ₫,-25%,64,391,4.7,2969,4,4.8
1224,125.000 ₫,0,1,2,4.0,7,1,5.0
1225,229.000 ₫,-50%,1,1,4.8,206,2,3.0
1226,195.000 ₫,0,4,11,4.1,21,1,4.5
1227,150.000 ₫,-32%,21,24,4.6,1740,4,0.0
1228,79.000 ₫,-7%,3,22,4.7,952,3,4.7
1229,500.000 ₫,-49%,5,9,4.6,2252,1,5.0
1230,39.000 ₫,0,1,18,5.0,4,0,5.0
1231,83.780 ₫,0,1,2,3.8,21,1,5.0
1232,699.999 ₫,0,1,2,4.4,135,1,4.0
1233,389.000 ₫,0,7,13,4.6,84,2,4.7
1234,370.000 ₫,0,1,1,4.4,2,1,0.0
1235,159.000 ₫,-47%,164,459,4.4,3584,5,4.2
1236,399.000 ₫,-27%,1,1,4.7,49,1,5.0
1237,37.000 ₫,0,0,2,4.0,68,0,0.0
1238,131.000 ₫,-34%,5,12,4.5,2048,4,0.0
1239,325.000 ₫,-20%,1,2,4.7,245,5,5.0
1240,159.000 ₫,-47%,2,5,4.3,139,5,4.5
1241,389.000 ₫,0,168,416,4.6,3276,1,4.8
1242,24.000 ₫,0,4,50,2.9,505,0,3.8
1243,129.000 ₫,0,1,1,4.3,98,3,3.0
1244,77.000 ₫,0,1,1,4.0,626,1,5.0
1245,99.000 ₫,0,1,4,4.0,397,1,1.0
1246,214.500 ₫,-22%,3,7,4.4,8,1,4.3
1247,100.000 ₫,0,3,7,4.3,559,5,4.7
1248,90.000 ₫,0,21,282,4.4,463,1,0.0
1249,79.000 ₫,0,2,2,4.5,2252,6,4.5
1250,180.000 ₫,0,26,89,4.2,425,4,4.7
1251,171.000 ₫,-5%,3,11,2.9,505,1,4.7
1252,119.000 ₫,-30%,1,4,3.9,770,1,5.0
1253,376.000 ₫,-16%,1,1,4.7,365,3,0.0
1254,99.000 ₫,0,5,31,4.7,58,1,4.6
1255,300.000 ₫,-20%,72,257,4.6,3276,2,4.7
1256,262.800 ₫,-20%,1,1,3.9,12,3,5.0
1257,288.000 ₫,-17%,9,59,3.7,65,5,4.2
1258,142.200 ₫,0,3,8,3.3,147,2,2.3
1259,120.000 ₫,-17%,1,3,4.4,22,1,0.0
1260,72.600 ₫,0,6,15,4.5,5,1,4.2
1261,72.600 ₫,0,6,15,4.5,5,1,4.2
1262,199.000 ₫,-15%,15,37,4.2,665,1,3.5
1263,90.000 ₫,0,2,2,4.0,626,1,0.0
1264,99.000 ₫,0,15,416,4.3,67,1,4.4
1265,89.000 ₫,0,1,1,4.4,26,1,3.0
1266,70.000 ₫,0,1,6,4.1,8,1,1.0
1267,140.000 ₫,-15%,5,11,4.6,95,1,5.0
1268,90.000 ₫,0,2,2,4.0,626,1,0.0
1269,103.000 ₫,0,20,78,4.2,134,2,4.4
1270,485.000 ₫,0,1,2,4.4,405,1,4.0
1271,107.000 ₫,0,1,10,4.0,279,2,5.0
1272,22.000 ₫,-49%,16,107,4.5,5222,6,4.6
1273,109.000 ₫,0,7,19,4.2,36,1,4.6
1274,220.000 ₫,0,110,222,4.4,3584,5,4.6
1275,45.000 ₫,-21%,1,3,4.0,279,2,4.0
1276,156.000 ₫,0,4,9,4.2,145,1,3.5
1277,139.000 ₫,-50%,7,14,4.8,267,4,0.0
1278,99.000 ₫,0,10,84,4.7,58,1,4.9
1279,18.000 ₫,-22%,11,118,3.8,414,1,4.4
1280,199.000 ₫,-57%,2,4,4.7,952,3,0.0
1281,1.090.000 ₫,0,4,15,4.2,19,2,4.5
1282,62.000 ₫,0,1,1,3.9,54,2,0.0
1283,94.000 ₫,0,2,12,4.3,172,1,3.5
1284,199.000 ₫,0,9,20,4.4,3584,5,4.9
1285,195.000 ₫,-20%,3,6,4.2,5,2,5.0
1286,300.000 ₫,0,2,12,4.5,19,1,0.0
1287,325.000 ₫,-24%,6,16,4.7,245,5,4.7
1288,500.000 ₫,0,2,6,4.6,2252,1,0.0
1289,90.000 ₫,0,1,3,4.3,1024,5,4.0
1290,82.000 ₫,0,19,51,4.3,1331,3,4.3
1291,119.000 ₫,-44%,1,6,3.3,147,2,4.0
1292,469.000 ₫,-25%,6,29,4.6,3276,2,0.0
1293,129.000 ₫,-20%,4,6,4.2,5,2,2.3
1294,68.600 ₫,0,1,2,4.2,472,2,0.0
1295,348.500 ₫,-39%,81,123,4.5,308,2,4.8
1296,39.000 ₫,0,0,8,3.5,46,1,0.0
1297,76.000 ₫,0,0,0,4.6,449,1,0.0
1298,149.000 ₫,0,1,1,4.3,559,5,0.0
1299,115.000 ₫,-47%,35,75,4.4,3584,5,0.0
1300,250.000 ₫,0,3,5,4.4,26,1,4.7
1301,169.000 ₫,-32%,1,4,4.5,2048,4,5.0
1302,99.000 ₫,0,0,2,3.9,849,1,0.0
1303,79.000 ₫,0,2,14,4.0,279,2,4.5
1304,245.000 ₫,-35%,32,101,4.5,935,1,0.0
1305,39.000 ₫,0,1,3,4.0,3,0,0.0
1306,639.000 ₫,0,10,19,4.4,135,1,4.1
1307,79.000 ₫,0,1,1,3.2,39,1,1.0
1308,259.000 ₫,-19%,10,11,4.8,267,4,4.7
1309,525.000 ₫,-16%,3,4,4.7,365,3,0.0
1310,115.000 ₫,0,28,118,3.9,565,1,0.0
1311,499.000 ₫,0,22,62,4.1,142,1,4.4
1312,99.000 ₫,0,5,13,4.7,2662,5,4.0
1313,159.000 ₫,-47%,110,238,4.4,3584,5,4.5
1314,99.000 ₫,-50%,94,244,4.3,4812,2,0.0
1315,756.800 ₫,-17%,3,11,3.7,65,5,4.7
1316,137.000 ₫,-14%,1,1,4.5,308,2,4.0
1317,335.000 ₫,-30%,1,7,4.5,620,2,0.0
1318,120.000 ₫,0,11,44,3.9,849,1,3.5
1319,99.000 ₫,0,6,33,4.7,58,1,5.0
1320,99.000 ₫,-23%,11,26,4.3,530,5,0.0
1321,199.000 ₫,0,10,14,4.1,18,2,3.9
1322,94.000 ₫,0,0,7,4.4,285,6,5.0
1323,300.000 ₫,-24%,2,76,3.6,174,1,0.0
1324,108.000 ₫,-10%,1,2,4.5,336,1,5.0
1325,132.000 ₫,0,19,67,4.0,122,1,4.2
1326,148.000 ₫,0,1,1,4.7,2662,5,5.0
1327,288.000 ₫,-17%,5,11,3.7,65,5,4.4
1328,50.000 ₫,0,5,11,4.4,817,1,0.0
1329,134.000 ₫,0,12,44,4.5,2252,6,4.8
1330,223.250 ₫,-5%,21,58,2.9,505,1,0.0
1331,300.000 ₫,0,3,4,3.8,59,2,5.0
1332,199.000 ₫,0,2,7,4.2,678,1,5.0
1333,99.000 ₫,0,9,22,4.7,2662,5,4.9
1334,179.000 ₫,0,2,3,3.9,77,1,4.0
1335,109.000 ₫,0,9,21,3.3,94,1,0.0
1336,65.000 ₫,0,2,17,4.2,51,1,0.0
1337,140.000 ₫,-15%,5,10,4.6,95,1,4.0
1338,42.500 ₫,-50%,8,14,4.5,234,1,5.0
1339,71.000 ₫,0,4,74,4.7,58,1,4.0
1340,225.000 ₫,-10%,1,8,4.5,336,1,5.0
1341,340.000 ₫,-20%,17,117,4.5,443,7,0.0
1342,53.000 ₫,-9%,1,1,3.9,310,6,0.0
1343,97.000 ₫,0,1,1,4.3,1331,3,5.0
1344,139.000 ₫,-37%,10,23,4.4,3584,5,4.3
